Year,Model,Total_Price(RM),Price_per_month(RM),Mileage(km),Transmission,Location,Highlight,URL,Brand
2022,axia advance 1.0,40400.0,414.0,34623.0,A,"carsome showroom kuala terengganu, terengganu 14,461.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2022-perodua-axia-advance-1.0/crah400,Perodua
2023,myvi av 1.5,52100.0,523.0,35407.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2023-perodua-myvi-av-1.5/c19j400,Perodua
2017,bezza advance premium 1.3,33000.0,398.0,138265.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2017-perodua-bezza-advance-premium-1.3/ca5h400,Perodua
2022,x50 tgdi flagship 1.5,72800.0,778.0,47572.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x50/2022-proton-x50-tgdi-flagship-1.5/cuji400,Proton
2016,vios g 1.5,48800.0,592.0,95236.0,A,"carsome pj automall, selangor 14,748.1 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2016-toyota-vios-g-1.5/cnjj400,Toyota
2019,axia gxtra 1.0,27000.0,284.0,110439.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2019-perodua-axia-gxtra-1.0/c0di400,Perodua
2018,civic tc vtec 1.5,80400.0,911.0,74235.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-tc-vtec-1.5/c11h400,Honda
2018,bezza x premium 1.3,33400.0,382.0,104021.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/ccxj400,Perodua
2021,axia gxtra 1.0,33000.0,327.0,72339.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2021-perodua-axia-gxtra-1.0/cnjk400,Perodua
2018,civic s i-vtec 1.8,71900.0,802.0,110853.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-s-i-vtec-1.8/c86i400,Honda
2022,hr-v e 1.5,104800.0,1070.0,57370.0,A,"carsome showroom alor setar, kedah 14,468.6 km
          away",compact suv,https://www.carsome.my/buy-car/honda/hr-v/2022-honda-hr-v-e-1.5/cinl400,Honda
