Year,Model,Total_Price,Price_per_month,Mileage,Transmission,Location,Highlight,URL
2019,Perodua AXIA G 1.0,"RM
          28,400",RM 305,"123,333 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2019-perodua-axia-g-1.0/ci2x400
2018,Honda Civic S i-VTEC 1.8,"RM
          72,600",RM 850,"44,866 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-s-i-vtec-1.8/c4bw400
2020,Proton X70 TGDI Premium 1.8,"RM
          65,400",RM 691,"59,586 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x70/2020-proton-x70-tgdi-premium-1.8/c8ew400
2022,Honda CR-V TC-P VTEC 1.5,"RM
          119,800","RM 1,313","32,901 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2022-honda-cr-v-tc-p-vtec-1.5/co3z400
2020,Perodua Aruz AV 1.5,"RM
          54,400",RM 590,"90,299 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/aruz/2020-perodua-aruz-av-1.5/clbw400
2022,Nissan Serena S-Hybrid High-Way Star 2.0,"RM
          109,800","RM 1,182","58,540 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Family Drive,https://www.carsome.my/buy-car/nissan/serena/2022-nissan-serena-s-hybrid-high-way-star-2.0/cvzu400
2021,Proton X50 Premium 1.5,"RM
          64,400",RM 706,"67,836 km",Automatic,"CARSOME Showroom Sitiawan, Perak 14,662.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2021-proton-x50-premium-1.5/cycx400
2019,Honda HR-V i-VTEC E 1.8,"RM
          67,400",RM 704,"94,320 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2019-honda-hr-v-i-vtec-e-1.8/ci4w400
2015,Honda City E i-VTEC 1.5,"RM
          37,400",RM 508,"135,151 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2015-honda-city-e-i-vtec-1.5/cf4w400
2015,Honda Jazz S i-VTEC 1.5,"RM
          39,000",RM 530,"154,171 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2015-honda-jazz-s-i-vtec-1.5/ce7w400
2019,Perodua Aruz AV 1.5,"RM
          51,000",RM 550,"95,850 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/aruz/2019-perodua-aruz-av-1.5/cm8w400
2016,Proton Persona Premium 1.6,"RM
          27,000",RM 367,"104,776 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/persona/2016-proton-persona-premium-1.6/ckuu400
2017,Toyota Vios J 1.5,"RM
          45,800",RM 611,"155,597 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2017-toyota-vios-j-1.5/ckiw400
2015,Perodua AXIA Advance 1.0,"RM
          24,600",RM 334,"146,147 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2015-perodua-axia-advance-1.0/cdsv400
2021,Honda HR-V i-VTEC V 1.8,"RM
          78,400",RM 839,"78,029 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2021-honda-hr-v-i-vtec-v-1.8/clbu400
2017,Perodua AXIA G 1.0,"RM
          27,900",RM 365,"82,297 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/cp0w400
2018,Perodua Alza Ez 1.5,"RM
          43,400",RM 514,"94,722 km",Automatic,"CARSOME Showroom Sitiawan, Perak 14,662.1 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-ez-1.5/ccfw400
2018,Perodua AXIA G 1.0,"RM
          28,400",RM 336,"70,118 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/cxuw400
2021,Toyota Corolla Cross V 1.8,"RM
          95,800","RM 1,044","76,675 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/corolla-cross/2021-toyota-corolla-cross-v-1.8/c5tv400
2022,Proton X70 TGDI Premium 1.5,"RM
          78,000",RM 855,"62,899 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x70/2022-proton-x70-tgdi-premium-1.5/cc2y400
2019,Honda CR-V TC-P VTEC 1.5,"RM
          96,900","RM 1,062","58,608 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2019-honda-cr-v-tc-p-vtec-1.5/ckwv400
2018,Honda Civic TC VTEC 1.5,"RM
          83,000",RM 960,"131,418 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-tc-vtec-1.5/cq8u400
2017,Honda Civic TC VTEC Premium 1.5,"RM
          81,800","RM 1,054","106,782 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2017-honda-civic-tc-vtec-premium-1.5/cmfv400
2018,Perodua Alza Ez 1.5,"RM
          43,400",RM 514,"93,647 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-ez-1.5/cqlw400
2018,Perodua Alza SE 1.5,"RM
          44,400",RM 490,"120,286 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-se-1.5/cuzt400
2020,Toyota Avanza S 1.5,"RM
          63,000",RM 690,"97,107 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",Family Drive,https://www.carsome.my/buy-car/toyota/avanza/2020-toyota-avanza-s-1.5/colx400
2019,Toyota Yaris E 1.5,"RM
          55,000",RM 595,"86,350 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/yaris/2019-toyota-yaris-e-1.5/cn8y400
2023,Proton Saga Premium 1.3,"RM
          34,300",RM 376,"28,053 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2023-proton-saga-premium-1.3/cyxo400
2022,Honda City S i-VTEC 1.5,"RM
          64,400",RM 706,"52,304 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2022-honda-city-s-i-vtec-1.5/ce3x400
2021,Perodua AXIA GXtra 1.0,"RM
          33,000",RM 362,"61,993 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2021-perodua-axia-gxtra-1.0/c2ow400
2020,Proton Saga Standard 1.3,"RM
          28,800",RM 305,"78,226 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-standard-1.3/c0pw400
2017,Honda Civic TC VTEC Premium 1.5,"RM
          78,400","RM 1,046","115,671 km",Automatic,"CARSOME Showroom Temerloh, Pahang 14,682.9 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2017-honda-civic-tc-vtec-premium-1.5/czyv400
2017,Honda BR-V V i-VTEC 1.5,"RM
          44,900",RM 584,"141,019 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",Family Drive,https://www.carsome.my/buy-car/honda/br-v/2017-honda-br-v-v-i-vtec-1.5/cayv400
2019,Honda HR-V i-VTEC RS 1.8,"RM
          75,000",RM 822,"110,766 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2019-honda-hr-v-i-vtec-rs-1.8/c60w400
2015,Nissan Almera VL 1.5,"RM
          26,900",RM 365,"131,212 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Daily Drive,https://www.carsome.my/buy-car/nissan/almera/2015-nissan-almera-vl-1.5/cy2t400
2012,Toyota Vios G 1.5,"RM
          29,000",RM 463,"164,676 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2012-toyota-vios-g-1.5/c1nw400
2016,Toyota Vios E 1.5,"RM
          43,400",RM 590,"153,873 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2016-toyota-vios-e-1.5/cudv400
2016,Subaru XV P 2.0,"RM
          37,900",RM 515,"106,445 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/subaru/xv/2016-subaru-xv-p-2.0/cb9s400
2019,Proton Saga Premium 1.3,"RM
          27,800",RM 305,"110,461 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2019-proton-saga-premium-1.3/cgzw400
2024,Perodua Alza AV 1.5,"RM
          74,500",RM 816,"32,732 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2024-perodua-alza-av-1.5/c5bw400
2020,Perodua Alza Advance 1.5,"RM
          55,900",RM 591,"60,737 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2020-perodua-alza-advance-1.5/c25w400
2023,Perodua Myvi AV 1.5,"RM
          53,900",RM 585,"35,750 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2023-perodua-myvi-av-1.5/cnwv400
2020,Proton Saga Premium 1.3,"RM
          31,300",RM 343,"32,264 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/c5sw400
2012,Volkswagen Polo GTi 1.4,"RM
          33,400",RM 533,"106,013 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Daily Drive,https://www.carsome.my/buy-car/volkswagen/polo/2012-volkswagen-polo-gti-1.4/cjuw400
2020,Proton Iriz Premium 1.6,"RM
          32,400",RM 355,"68,298 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/iriz/2020-proton-iriz-premium-1.6/c5hw400
2022,Mercedes-Benz A250 AMG Line 2.0,"RM
          169,800","RM 1,799","28,912 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Luxury,https://www.carsome.my/buy-car/mercedes-benz/a250/2022-mercedes-benz-a250-amg-line-2.0/cebx400
2021,Proton Saga Premium 1.3,"RM
          32,300",RM 354,"46,570 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2021-proton-saga-premium-1.3/c9vw400
2018,Perodua Bezza Advance Premium 1.3,"RM
          35,400",RM 425,"115,325 km",Automatic,"CARSOME Showroom Temerloh, Pahang 14,682.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-advance-premium-1.3/cznx400
2018,Perodua AXIA G 1.0,"RM
          28,400",RM 336,"76,125 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/cy6w400
2017,Perodua Myvi AV 1.5,"RM
          39,900",RM 518,"101,253 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-av-1.5/c4uw400
2023,Honda WR-V RS 1.5,"RM
          84,000",RM 920,"31,659 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/wr-v/2023-honda-wr-v-rs-1.5/cp20500
2021,Proton X50 TGDI Flagship 1.5,"RM
          71,400",RM 782,"74,030 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2021-proton-x50-tgdi-flagship-1.5/cyvy400
2018,Honda City E i-VTEC 1.5,"RM
          52,400",RM 610,"86,373 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2018-honda-city-e-i-vtec-1.5/cgux400
2023,Volkswagen Tiguan Allspace R-Line 4MOTION 2.0,"RM
          162,000","RM 1,775","17,865 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/volkswagen/tiguan/2023-volkswagen-tiguan-allspace-r-line-4motion-2.0/c220500
2019,Perodua Bezza X Premium 1.3,"RM
          34,900",RM 382,"98,877 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2019-perodua-bezza-x-premium-1.3/cxhx400
2017,Toyota Camry G X 2.0,"RM
          85,400","RM 1,139","105,287 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",Executive,https://www.carsome.my/buy-car/toyota/camry/2017-toyota-camry-g-x-2.0/c1jx400
2018,Mazda CX-5 SKYACTIV-G GLS 2.0,"RM
          81,400",RM 960,"103,793 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-5/2018-mazda-cx-5-skyactiv-g-gls-2.0/cp8x400
2013,Toyota Vios E 1.5,"RM
          32,900",RM 481,"187,059 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2013-toyota-vios-e-1.5/ck4w400
2013,Perodua Myvi EZi 1.3,"RM
          24,900",RM 364,"122,909 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2013-perodua-myvi-ezi-1.3/cpnw400
2018,Perodua Myvi AV 1.5,"RM
          42,600",RM 511,"131,047 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/c70x400
2022,Honda HR-V e:HEV RS 1.5,"RM
          110,000","RM 1,201","31,177 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2022-honda-hr-v-e-hev-rs-1.5/cxyx400
2019,Toyota C-HR 1.8,"RM
          89,000",RM 975,"91,734 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/c-hr/2019-toyota-c-hr--1.8/c4rw400
2018,Isuzu D-Max V-Cross Z-Prestige Dual Cab 3.0,"RM
          77,800",RM 934,"140,616 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",Adventure,https://www.carsome.my/buy-car/isuzu/d-max/2018-isuzu-d-max-v-cross-z-prestige-dual-cab-3.0/cy8x400
2019,Proton Saga Standard 1.3,"RM
          25,400",RM 273,"110,845 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2019-proton-saga-standard-1.3/c2wv400
2015,Perodua Myvi X 1.3,"RM
          25,900",RM 352,"133,675 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-x-1.3/ccdu400
2017,Proton Saga Executive 1.3,"RM
          22,400",RM 299,"137,803 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2017-proton-saga-executive-1.3/crbu400
2022,Perodua AXIA GXtra 1.0,"RM
          34,000",RM 373,"61,991 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2022-perodua-axia-gxtra-1.0/czhx400
2018,Perodua Bezza X Premium 1.3,"RM
          33,000",RM 396,"112,398 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/cdbv400
2020,Honda HR-V i-VTEC V 1.8,"RM
          76,400",RM 776,"71,626 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2020-honda-hr-v-i-vtec-v-1.8/canv400
2018,Perodua AXIA G 1.0,"RM
          27,900",RM 335,"111,416 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/cwbx400
2017,Toyota Alphard G S C Package 2.5,"RM
          164,000","RM 2,188","92,465 km",Automatic,"CARSOME Showroom Melaka, Melaka 10,512.9 km
          away",Luxury,https://www.carsome.my/buy-car/toyota/alphard/2017-toyota-alphard-g-s-c-package-2.5/comv400
2022,Toyota Yaris E 1.5,"RM
          64,900",RM 711,"33,957 km",Automatic,"CARSOME Showroom Sitiawan, Perak 14,662.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/yaris/2022-toyota-yaris-e-1.5/ctsx400
2018,Volkswagen Passat 280 TSI Comfortline 1.8,"RM
          58,000",RM 696,"84,805 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Executive,https://www.carsome.my/buy-car/volkswagen/passat/2018-volkswagen-passat-280-tsi-comfortline-1.8/cvgw400
2019,Perodua Myvi AV 1.5,"RM
          44,400",RM 480,"91,650 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-av-1.5/c6mx400
2022,Nissan Serena S-Hybrid High-Way Star 2.0,"RM
          109,800","RM 1,182","12,379 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Family Drive,https://www.carsome.my/buy-car/nissan/serena/2022-nissan-serena-s-hybrid-high-way-star-2.0/caxy400
2012,Proton Exora Bold CFE Premium 1.6,"RM
          18,900",RM 302,"165,248 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Family Drive,https://www.carsome.my/buy-car/proton/exora/2012-proton-exora-bold-cfe-premium-1.6/c6qx400
2018,Proton Saga Executive 1.3,"RM
          26,600",RM 304,"118,364 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-executive-1.3/ccbu400
2019,Proton X70 TGDI Premium 1.8,"RM
          56,400",RM 592,"65,668 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x70/2019-proton-x70-tgdi-premium-1.8/chks400
2018,Perodua AXIA G 1.0,"RM
          27,900",RM 335,"108,252 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/ch0w400
2017,Honda HR-V i-VTEC V 1.8,"RM
          56,000",RM 747,"130,159 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2017-honda-hr-v-i-vtec-v-1.8/cdix400
2019,BMW X3 xDrive30i Luxury 2.0,"RM
          117,000","RM 1,282","88,109 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Luxury,https://www.carsome.my/buy-car/bmw/x3/2019-bmw-x3-xdrive30i-luxury-2.0/c2rt400
2018,Perodua AXIA SE 1.0,"RM
          30,400",RM 350,"136,817 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-se-1.0/c0dv400
2016,Honda Jazz V i-VTEC 1.5,"RM
          48,000",RM 652,"138,251 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2016-honda-jazz-v-i-vtec-1.5/cs3x400
2016,Nissan Almera VL 1.5,"RM
          32,400",RM 440,"155,820 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/nissan/almera/2016-nissan-almera-vl-1.5/cmew400
2023,Nissan Serena S-Hybrid High-Way Star 2.0,"RM
          122,000","RM 1,322","32,332 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",Family Drive,https://www.carsome.my/buy-car/nissan/serena/2023-nissan-serena-s-hybrid-high-way-star-2.0/cvk0500
2020,Toyota Yaris E 1.5,"RM
          58,900",RM 633,"90,421 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/yaris/2020-toyota-yaris-e-1.5/cvkx400
2018,Lexus NX300 F SPORT 2.0,"RM
          170,000","RM 1,992","99,436 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Luxury,https://www.carsome.my/buy-car/lexus/nx300/2018-lexus-nx300-f-sport-2.0/cj5z400
2018,Toyota C-HR 1.8,"RM
          83,800",RM 994,"68,196 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/c-hr/2018-toyota-c-hr--1.8/cely400
2018,Perodua AXIA G 1.0,"RM
          28,400",RM 336,"76,848 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/c82y400
2020,Toyota Yaris E 1.5,"RM
          58,900",RM 633,"81,089 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/yaris/2020-toyota-yaris-e-1.5/cfux400
2017,Mazda 2 SKYACTIV-G 1.5,"RM
          44,900",RM 599,"96,061 km",Automatic,"CARSOME Showroom Sitiawan, Perak 14,662.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/mazda/2/2017-mazda-2-skyactiv-g-1.5/cszt400
2019,Perodua Myvi AV 1.5,"RM
          44,400",RM 480,"83,267 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-av-1.5/c0px400
2020,Perodua Myvi AV 1.5,"RM
          46,600",RM 502,"75,989 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/cmbx400
2019,Mercedes-Benz C200 Avantgarde 1.5,"RM
          125,000","RM 1,346","62,817 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",Luxury,https://www.carsome.my/buy-car/mercedes-benz/c200/2019-mercedes-benz-c200-avantgarde-1.5/ci7y400
2020,Honda HR-V i-VTEC V 1.8,"RM
          76,400",RM 798,"84,351 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2020-honda-hr-v-i-vtec-v-1.8/cqiv400
2017,Perodua AXIA G 1.0,"RM
          27,900",RM 365,"68,653 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/cszs400
2017,Mazda CX-3 SKYACTIV 2.0,"RM
          59,400",RM 786,"78,796 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-3/2017-mazda-cx-3-skyactiv-2.0/chuw400
2021,Proton X50 TGDI Flagship 1.5,"RM
          69,400",RM 761,"82,975 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2021-proton-x50-tgdi-flagship-1.5/cvky400
2016,Perodua AXIA G 1.0,"RM
          24,400",RM 310,"83,276 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2016-perodua-axia-g-1.0/cgqx400
2015,Honda Jazz S i-VTEC 1.5,"RM
          39,600",RM 538,"84,450 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2015-honda-jazz-s-i-vtec-1.5/cjrx400
2019,Perodua Myvi X 1.3,"RM
          37,000",RM 405,"106,784 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-x-1.3/cu4y400
2013,Nissan Almera VL 1.5,"RM
          21,900",RM 320,"158,777 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/nissan/almera/2013-nissan-almera-vl-1.5/cquw400
2020,Honda CR-V i-VTEC 2.0,"RM
          92,400",RM 956,"72,735 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2020-honda-cr-v-i-vtec-2.0/cyty400
