Year,Model,Total_Price,Price_per_month,Mileage,Transmission,Location,Highlight,URL
2018,Perodua AXIA G 1.0,"RM
          28,000",RM 310,"113,321 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/cxbm400
2020,Perodua AXIA GXtra 1.0,"RM
          32,400",RM 355,"80,381 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/cu2o400
2016,Toyota Vios E 1.5,"RM
          43,900",RM 596,"144,151 km",Automatic,"CARSOME Showroom Sitiawan, Perak 14,662.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2016-toyota-vios-e-1.5/cwxm400
2014,Nissan Sylphy VL 1.8,"RM
          30,400",RM 413,"117,896 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/nissan/sylphy/2014-nissan-sylphy-vl-1.8/csnk400
2019,Honda BR-V E i-VTEC 1.5,"RM
          49,000",RM 537,"117,664 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Family Drive,https://www.carsome.my/buy-car/honda/br-v/2019-honda-br-v-e-i-vtec-1.5/c3dl400
2021,Proton X70 TGDI Executive 1.8,"RM
          63,900",RM 700,"68,593 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x70/2021-proton-x70-tgdi-executive-1.8/cl9n400
2018,Honda CR-V TC-P VTEC 1.5,"RM
          90,000","RM 1,066","104,356 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2018-honda-cr-v-tc-p-vtec-1.5/cztm400
2018,Toyota C-HR 1.8,"RM
          83,000",RM 941,"134,840 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/c-hr/2018-toyota-c-hr--1.8/c2kn400
2021,Perodua Myvi AV 1.5,"RM
          48,900",RM 536,"85,268 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-av-1.5/cydo400
2023,Perodua Ativa H 1.0,"RM
          59,400",RM 651,"46,033 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/perodua/ativa/2023-perodua-ativa-h-1.0/cj7l400
